0	1
0.1	0.904796
0.2	0.818655
0.3	0.740714
0.4	0.670193
0.5	0.606385
0.6	0.548651
0.7	0.496412
0.8	0.449146
0.9	0.406379
1	0.367683
1.1	0.332669
1.2	0.300988
1.3	0.272322
1.4	0.246383
1.5	0.222913
1.6	0.201675
1.7	0.182457
1.8	0.165068
1.9	0.149332
2	0.135091
2.1	0.122205
2.2	0.110543
2.3	0.0999886
2.4	0.0904367
2.5	0.0817917
2.6	0.073967
2.7	0.0668848
2.8	0.060474
2.9	0.054671
3	0.0494178
3.1	0.0446622
3.2	0.0403568
3.3	0.0364588
3.4	0.0329296
3.5	0.0297339
3.6	0.0268404
3.7	0.0242203
3.8	0.0218476
3.9	0.019699
4	0.0177531
4.1	0.0159913
4.2	0.0143955
4.3	0.0129509
4.4	0.0116425
4.5	0.0104584
4.6	0.00938617
4.7	0.00841626
4.8	0.00753841
4.9	0.00674477
5	0.0060272
5.1	0.00537888
5.2	0.00479357
5.3	0.00426526
5.4	0.00378916
5.5	0.00336008
5.6	0.00297415
5.7	0.00262714
5.8	0.00231562
5.9	0.00203642
6	0.00178624
6.1	0.00156293
6.2	0.00136323
6.3	0.00118584
6.4	0.00102761
6.5	0.000887766
6.6	0.000763532
6.7	0.000654281
6.8	0.000557804
6.9	0.000473392
7	0.000399468
7.1	0.000335157
7.2	0.00027943
7.3	0.00023131
7.4	0.000190125
7.5	0.000154942
7.6	0.000125229
7.7	0.00010024
7.8	7.94195e-05
7.9	6.22917e-05
8	4.82055e-05
8.1	3.69556e-05
8.2	2.78186e-05
8.3	2.07912e-05
8.4	1.51534e-05
8.5	1.10119e-05
8.6	7.73158e-06
8.7	5.44818e-06
8.8	3.66509e-06
8.9	2.49754e-06
9	1.60064e-06
9.1	1.05191e-06
9.2	6.38419e-07
9.3	4.03503e-07
9.4	2.30426e-07
9.5	1.39607e-07
9.6	7.43575e-08
9.7	4.26557e-08
9.8	2.02354e-08
9.9	9.00517e-09
10	0
